#Parameters = {GP_thickness=0.2; c=300000000; copper_width=0.508; copperthickness=0.3; f=1900000000; feed_length=6.9342; lambda=0.15789473684211; line11_length=2.5; line13_length=2.5; line1_length=5; line2_length=2.5; line3_length=2.5; line5_length=2.5; line7_length=2.5; line9_length=2.5; meander_length=1.192; meander_width=0.508; pcb_thickness=0.8; tip_length=4.191; tip_width=0.508}
#"Frequency / MHz"	"S1,1_(line1_length=4) [Magnitude]"
#-----------------------------------------------------
1931.0000000000	-7.1811335934068
1935.5000000000	-7.3852838567405
1940.0000000000	-7.5727780993642
1944.5000000000	-7.7394097030506
1949.0000000000	-7.8811316497125
1953.5000000000	-7.9943195815957
1958.0000000000	-8.0760527455579
1962.5000000000	-8.1243372923470
1967.0000000000	-8.1382615933780
1971.5000000000	-8.1180439938772
1976.0000000000	-8.0649789901127
1980.5000000000	-7.9812803128588
1985.0000000000	-7.8698829603599
1989.5000000000	-7.7341981150493
1994.0000000000	-7.5778960173643
1998.5000000000	-7.4047129028193
2003.0000000000	-7.2182915445111
2007.5000000000	-7.0220712342627
2012.0000000000	-6.8192196665226
2016.5000000000	-6.6125742500518
2021.0000000000	-6.4046221667848
2025.5000000000	-6.1974871379556
2030.0000000000	-5.9929308114640
2034.5000000000	-5.7923599339321
2039.0000000000	-5.5968513667702
2043.5000000000	-5.4071776089994
2048.0000000000	-5.2238416889507
2052.5000000000	-5.0471255114851
2057.0000000000	-4.8771293848860
2061.5000000000	-4.7138312575792
2066.0000000000	-4.5571206872332
2070.5000000000	-4.4068531273780
2075.0000000000	-4.2628658179992
2079.5000000000	-4.1250128838727
2084.0000000000	-3.9931645416360
2088.5000000000	-3.8672123314769
2093.0000000000	-3.7470518275337
2097.5000000000	-3.6325767287197
2102.0000000000	-3.5236551747307
2106.5000000000	-3.4201173573547
2111.0000000000	-3.3217478351959
2115.5000000000	-3.2282836317650
2120.0000000000	-3.1394323176675
2124.5000000000	-3.0548644059823
2129.0000000000	-2.9742617492962
2133.5000000000	-2.8973151803147
2138.0000000000	-2.8237635332560
2142.5000000000	-2.7533959713656
2147.0000000000	-2.6860607470616
2151.5000000000	-2.6216641320270
2156.0000000000	-2.5601574785019
2160.5000000000	-2.5015130963194
2165.0000000000	-2.4457143431402
2169.5000000000	-2.3927154939473
2174.0000000000	-2.3424378400995
2178.5000000000	-2.2947602448486
2183.0000000000	-2.2495111149633
2187.5000000000	-2.2064822072374
2192.0000000000	-2.1654510839395
2196.5000000000	-2.1261984703004
