#
#"Theta / deg"	"farfield (f=.81)phi=0,norm [Mag]"	"farfield (f=.81)phi=0,norm [Pha in deg.]"
#-------------------------------------------------------------------------------------------
183.00000000000	178.66709357869	-7.8330987677591
184.00000000000	177.39519073532	-7.1906566479433
185.00000000000	176.19206367174	-6.6686718748525
186.00000000000	175.03396919666	-6.2308067590193
187.00000000000	173.90700236592	-5.8542631423350
188.00000000000	172.80253275392	-5.5241083060520
189.00000000000	171.71491674996	-5.2301259556102
190.00000000000	170.64029905778	-4.9650560409519
191.00000000000	169.57594882741	-4.7235710066214
192.00000000000	168.51987232179	-4.5016541695968
193.00000000000	167.47057640299	-4.2962069352637
194.00000000000	166.42691832029	-4.1047916844895
195.00000000000	165.38800701419	-3.9254581734560
196.00000000000	164.35313632934	-3.7566230945593
197.00000000000	163.32173864201	-3.5969845007140
198.00000000000	162.29335192502	-3.4454597055999
199.00000000000	161.26759588341	-3.3011393679735
200.00000000000	160.24415435120	-3.1632529698833
201.00000000000	159.22276209758	-3.0311424689899
202.00000000000	158.20319479454	-2.9042419154827
203.00000000000	157.18526128847	-2.7820614887284
204.00000000000	156.16879757566	-2.6641748549744
205.00000000000	155.15366205489	-2.5502090525507
206.00000000000	154.13973174932	-2.4398363232159
207.00000000000	153.12689927203	-2.3327674581733
208.00000000000	152.11507036838	-2.2287463346628
209.00000000000	151.10416191004	-2.1275453969881
210.00000000000	150.09410024569	-2.0289618931087
211.00000000000	149.08481983596	-1.9328147204963
212.00000000000	148.07626211654	-1.8389417669135
213.00000000000	147.06837454575	-1.7471976560165
214.00000000000	146.06110980229	-1.6574518262299
215.00000000000	145.05442510610	-1.5695868856632
216.00000000000	144.04828164063	-1.4834971969789
217.00000000000	143.04264405923	-1.3990876548573
218.00000000000	142.03748006162	-1.3162726256008
219.00000000000	141.03276002915	-1.2349750239019
220.00000000000	140.02845670940	-1.1551255061883
221.00000000000	139.02454494265	-1.0766617634841
222.00000000000	138.02100142393	-0.99952789958789
223.00000000000	137.01780449524	-0.92367388269142
