#Parameters = {ADD=-10.5; Antenna_len=49.973684210526; Antenna_ofset=0.5; Antenna_radius=0.4; Bend_Add=-20; C1=500; C2=300; D2Device=2.25; Feed_Point_v=24.5; L1=24; LenAntenna=-10.584073464102; Offset2mid=2; TransformPAR=20.5; Turn_Radius=1; Turns=5; addlen=2; c=300000000; copperthickness=0.3; f=1900000000; lambda=0.15789473684211; u_feed_point=10; add1=0}
#"Frequency / MHz"	"S3,3 (103) [Real/Imaginary Part] [Re]"	"S3,3 (103) [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------
1656.0000000000	0.77822649478912	0.50557291507721
1657.5000000000	0.77921599149704	0.50305145978928
1659.0000000000	0.78023582696915	0.50060343742371
1660.5000000000	0.78129220008850	0.49822449684143
1662.0000000000	0.78239011764526	0.49590998888016
1663.5000000000	0.78353512287140	0.49365478754044
1665.0000000000	0.78473162651062	0.49145331978798
1666.5000000000	0.78598380088806	0.48929995298386
1668.0000000000	0.78729522228241	0.48718822002411
1669.5000000000	0.78866904973984	0.48511213064194
1671.0000000000	0.79010808467865	0.48306491971016
1672.5000000000	0.79161429405212	0.48103988170624
1674.0000000000	0.79318922758102	0.47903022170067
1675.5000000000	0.79483366012573	0.47702899575233
1677.0000000000	0.79654830694199	0.47502925992012
1678.5000000000	0.79833292961121	0.47302410006523
1680.0000000000	0.80018663406372	0.47100672125816
