#Parameters = {L=80; N=5; dist=100; gap=5; r=1}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
0.22200000286102	-0.0051433401176682
0.22349999845028	-0.0053004962304356
0.22499999403954	-0.0054623796044854
0.22650000452995	-0.0056280995400711
0.22800000011921	-0.0057992209428803
0.22949999570847	-0.0059756647469235
0.23100000619888	-0.0061564561541363
0.23250000178814	-0.0063426559277122
0.23399999737740	-0.0065345053918333
0.23549999296665	-0.0067311792600666
0.23700000345707	-0.0069327694405759
0.23849999904633	-0.0071399732420125
0.23999999463558	-0.0073529646108928
0.24150000512600	-0.0075711367111753
0.24300000071526	-0.0077948012888434
0.24449999630451	-0.0080242692853531
0.24600000679493	-0.0082586991207713
0.24750000238419	-0.0085002521398504
0.24899999797344	-0.0087460442448235
0.25049999356270	-0.0089983173682617
0.25200000405312	-0.0092564903364898
0.25350001454353	-0.0095204924024630
